Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
5.415210583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415215500000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415217250000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415220541666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415225500000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415226750000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415230625000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415235500000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415240666666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415245500000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415245916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415255916666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415260833333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415265916666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415270833333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415272041666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415275958333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415280833333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415282416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415285916666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415290833333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415295916666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415300833333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415305958333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415310875000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415315958333333, 1, 1, 1, 1, 1, 1, 1, 1
5.415320875000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415322458333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415326000000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415330875000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415332291666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415335958333333, 1, 1, 1, 1, 1, 1, 1, 1
5.415340875000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415346833333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415351583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415357375000000, 1, 1, 1, 1, 1, 1, 1, 1
5.415422416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415427500000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415432291666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415436833333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415441750000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415442041666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415446916666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415451750000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415452166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415456833333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415461750000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415466833333333, 1, 1, 1, 1, 1, 1, 1, 1
5.415471750000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415472083333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415476916666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415481791666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415482208333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415486875000000, 1, 1, 1, 1, 1, 1, 1, 1
5.415491791666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415492083333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415496958333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415501791666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415506958333333, 1, 0, 1, 1, 1, 1, 1, 1
5.415511791666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415512208333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415514833333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415516916666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415521791666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415523166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415527333333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415532208333333, 1, 0, 1, 1, 1, 1, 1, 1
5.415537041666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415542208333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415547083333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415552250000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415557083333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415562250000001, 1, 0, 1, 1, 1, 1, 1, 1
5.415567083333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415572250000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415577083333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415577500000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415582166666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415587083333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415592208333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415597125000001, 1, 1, 0, 1, 1, 1, 1, 1
5.415597416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415602250000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415607125000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415607541666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415609500000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415612208333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415617125000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415621833333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415626458333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415632250000001, 1, 0, 1, 1, 1, 1, 1, 1
5.415637333333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415642791666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415648583333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415653500000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415653833333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415658666666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415663500000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415663916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415668625000000, 1, 1, 1, 1, 1, 1, 1, 1
5.415673541666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415678625000000, 1, 1, 1, 1, 1, 1, 1, 1
5.415683541666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415683833333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415688708333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415693541666667, 1, 0, 0, 1, 1, 1, 1, 1
